Brand,Car Model,Car Name,Car Variant,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location
Honda,2017,City 1.5L I-VTEC VX,City 1.5L I-VTEC VX,Manual,"39,420 km",1st owner,Petrol,MH46-BC6633,"₹14,037/month",₹7.18 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2020,Dzire ZXI PLUS AMT,Dzire ZXI PLUS AMT,Manual,"55,907 km",2nd owner,Petrol,MH47-AU4542,"₹11,945/month",₹6.11 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2016,Elite i20 MAGNA 1.2,Elite i20 MAGNA 1.2,Manual,"26,224 km",2nd owner,Petrol,MH05-CV5392,"₹8,641/month",₹4.42 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2017,Baleno ALPHA DIESEL 1.3,Baleno ALPHA DIESEL 1.3,Manual,"73,436 km",1st owner,Diesel,MH04-HX5522,"₹11,339/month",₹5.8 Lakh,On Zero down payment,Seawood
Hyundai,2018,Grand i10 MAGNA U2 1.2 CRDI,Grand i10 MAGNA U2 1.2 CRDI,Manual,"113,120 km",1st owner,Diesel,MH46-BK6991,"₹9,632/month",₹4.33 Lakh,On Zero down payment,"Mulund West, Mumbai"
Skoda,2013,Rapid ACTIVE 1.6 TDI CR MT PLUS,Rapid ACTIVE 1.6 TDI CR MT PLUS,Manual,"56,954 km",1st owner,Diesel,MH02-CW5637,"₹11,027/month",₹3.32 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2016,Swift Dzire VXI,Swift Dzire VXI,Manual,"34,315 km",1st owner,Petrol,MH05-CV0056,"₹9,247/month",₹4.73 Lakh,On Zero down payment,"Goregaon, Mumbai"
Volkswagen,2022,VIRTUS HIGHLINE TSI 1.0 MT,VIRTUS HIGHLINE TSI 1.0 MT,Manual,"15,098 km",1st owner,Petrol,MH04-LH0876,"₹22,232/month",₹11.68 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2014,Verna FLUIDIC 1.6 VTVT SX,Verna FLUIDIC 1.6 VTVT SX,Manual,"65,189 km",2nd owner,Petrol,MH02-DN9736,"₹9,699/month",₹4.36 Lakh,On Zero down payment,Seawood
Maruti,2017,IGNIS DELTA 1.2 AMT,IGNIS DELTA 1.2 AMT,Automatic,"20,687 km",1st owner,Petrol,MH03-CM2566,"₹9,482/month",₹4.85 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2011,i20 ASTA 1.2,i20 ASTA 1.2,Manual,"72,357 km",3rd owner,Petrol,MH02-BZ9982,"₹10,733/month",₹2.28 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2015,Ertiga VXI CNG,Ertiga VXI CNG,Manual,"52,143 km",3rd owner,CNG,MH03-BW1241,"₹15,511/month",₹5.89 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2014,i20 SPORTZ 1.2,i20 SPORTZ 1.2,Manual,"35,207 km",2nd owner,Petrol,MH02-DN0814,"₹8,141/month",₹3.66 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2019,Baleno ALPHA PETROL 1.2,Baleno ALPHA PETROL 1.2,Manual,"51,655 km",1st owner,Petrol,MH47-AG7461,"₹11,234/month",₹5.75 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2017,Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Manual,"57,626 km",1st owner,Petrol,MH04-HX7906,"₹9,325/month",₹4.77 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2015,Elite i20 MAGNA 1.2,Elite i20 MAGNA 1.2,Manual,"69,078 km",1st owner,Petrol,MH46-AL4472,"₹8,485/month",₹4.34 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2016,City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Manual,"35,825 km",1st owner,Petrol,MH01-CH5957,"₹10,459/month",₹5.35 Lakh,On Zero down payment,Seawood
Honda,2012,Brio S MT,Brio S MT,Manual,"60,023 km",3rd owner,Petrol,MH02-CP8597,"₹6,875/month",₹2.07 Lakh,On Zero down payment,Seawood
Honda,2018,Amaze 1.2L I-VTEC V CVT,Amaze 1.2L I-VTEC V CVT,Automatic,"66,032 km",1st owner,Petrol,MH03-DA8008,"₹11,476/month",₹5.87 Lakh,On Zero down payment,Seawood
Maruti,2011,Swift ZXI,Swift ZXI,Manual,"67,725 km",2nd owner,Petrol,MH01-BB2081,"₹13,981/month",₹2.97 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2016,Creta E PLUS 1.6 PETROL,Creta E PLUS 1.6 PETROL,Manual,"56,586 km",2nd owner,Petrol,MH03-CB8150,"₹13,001/month",₹6.65 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2012,City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Manual,"69,461 km",3rd owner,Petrol,MH03-BH4579,"₹10,330/month",₹3.11 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2020,Celerio ZXI,Celerio ZXI,Manual,"23,043 km",2nd owner,Petrol,MH19-CV8147,"₹7,840/month",₹4.01 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2020,Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Manual,"29,044 km",1st owner,Petrol,MH43-BU2433,"₹11,750/month",₹6.01 Lakh,On Zero down payment,"Mulund West, Mumbai"
Tata,2018,NEXON XM PETROL,NEXON XM PETROL,Manual,"13,664 km",2nd owner,Petrol,MH47-AB9813,"₹11,300/month",₹5.78 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2017,Dzire ZDI PLUS,Dzire ZDI PLUS,Manual,"92,625 km",1st owner,Diesel,MH47-W2905,"₹12,375/month",₹6.33 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2017,Ciaz ZDI+ SHVS,Ciaz ZDI+ SHVS,Manual,"75,584 km",1st owner,Diesel,MH02-EK6504,"₹11,847/month",₹6.06 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2017,Wagon R 1.0 VXI,Wagon R 1.0 VXI,Manual,"19,020 km",1st owner,Petrol,MH01-CP7619,"₹7,054/month",₹3.61 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2014,Celerio VXI,Celerio VXI,Manual,"65,485 km",1st owner,Petrol,MH47-A0493,"₹6,851/month",₹3.08 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2015,City 1.5L I-VTEC S MT,City 1.5L I-VTEC S MT,Manual,"79,021 km",2nd owner,Petrol,MH02-DW2210,"₹8,465/month",₹4.33 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2018,Ertiga ZDI SHVS,Ertiga ZDI SHVS,Manual,"47,225 km",1st owner,Diesel,MH02-EU5968,"₹15,989/month",₹8.4 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2015,City 1.5L I-VTEC VX (O) MT,City 1.5L I-VTEC VX (O) MT,Manual,"29,479 km",1st owner,Petrol,MH01-CD0341,"₹11,459/month",₹5.86 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2022,BREZZA ZXI SMART HYBRID,BREZZA ZXI SMART HYBRID,Manual,"5,377 km",1st owner,Petrol,MH03-EB1506,"₹22,517/month",₹11.83 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2011,i10 MAGNA 1.1,i10 MAGNA 1.1,Manual,"79,115 km",2nd owner,Petrol,MH04-ET2698,"₹9,226/month",₹1.96 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2014,Swift VXI,Swift VXI,Manual,"69,220 km",1st owner,Petrol,MH46-Z5440,"₹7,897/month",₹3.55 Lakh,On Zero down payment,"Goregaon, Mumbai"
Tata,2018,TIGOR XZA PETROL,TIGOR XZA PETROL,Automatic,"48,178 km",2nd owner,Petrol,MH04-JM7858,"₹9,576/month",₹4.9 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2021,S PRESSO VXI+,S PRESSO VXI+,Manual,"12,655 km",1st owner,Petrol,MH03-DU4502,"₹7,996/month",₹4.09 Lakh,On Zero down payment,"Goregaon, Mumbai"
Skoda,2017,Rapid STYLE 1.6 MPI AT,Rapid STYLE 1.6 MPI AT,Automatic,"84,858 km",3rd owner,Petrol,MH03-CS1294,"₹10,342/month",₹5.29 Lakh,On Zero down payment,"Goregaon, Mumbai"
Renault,2019,Duster 110 PS RXZ MT DIESEL,Duster 110 PS RXZ MT DIESEL,Manual,"89,481 km",2nd owner,Diesel,MH47-AN2795,"₹14,545/month",₹7.44 Lakh,On Zero down payment,"Mulund West, Mumbai"
Tata,2020,Tiago XT PETROL,Tiago XT PETROL,Manual,"42,969 km",2nd owner,Petrol,MH02-FJ6536,"₹9,130/month",₹4.67 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2013,Swift Dzire VXI,Swift Dzire VXI,Manual,"47,225 km",1st owner,Petrol,MH03-BH7164,"₹9,401/month",₹3.57 Lakh,On Zero down payment,Seawood
Hyundai,2012,i20 MAGNA 1.2,i20 MAGNA 1.2,Manual,"54,639 km",1st owner,Petrol,MH01-BF6495,"₹9,931/month",₹2.99 Lakh,On Zero down payment,"Mulund West, Mumbai"
Renault,2021,Kiger RXL MT,Kiger RXL MT,Manual,"46,060 km",1st owner,Petrol,MH43-BY1701,"₹10,761/month",₹5.5 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2014,Ciaz VDI,Ciaz VDI,Manual,"60,741 km",1st owner,Diesel,MH02-DS8458,"₹13,615/month",₹5.17 Lakh,On Zero down payment,"Goregaon, Mumbai"
Renault,2020,Kwid RXT 1.0 AMT (O),Kwid RXT 1.0 AMT (O),Automatic,"31,238 km",1st owner,Petrol,MH02-FJ3993,"₹8,289/month",₹4.24 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2013,CRV 2.0L 2WD MT,CRV 2.0L 2WD MT,Manual,"101,898 km",1st owner,Petrol,MH04-FZ6710,"₹13,272/month",₹5.04 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2017,Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Manual,"49,469 km",2nd owner,Petrol,MH05-DE0980,"₹9,110/month",₹4.66 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2021,Dzire VXI,Dzire VXI,Manual,"18,343 km",1st owner,Petrol,MH01-DX1168,"₹12,590/month",₹6.44 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2013,i20 SPORTZ 1.2,i20 SPORTZ 1.2,Manual,"81,359 km",1st owner,Petrol,MH43-AN3680,"₹8,427/month",₹3.2 Lakh,On Zero down payment,"Mulund West, Mumbai"
Volkswagen,2014,Polo COMFORTLINE 1.2L,Polo COMFORTLINE 1.2L,Manual,"25,705 km",1st owner,Petrol,MH02-DS2950,"₹8,764/month",₹3.94 Lakh,On Zero down payment,"Goregaon, Mumbai"
Volkswagen,2014,Polo HIGHLINE1.2L,Polo HIGHLINE1.2L,Manual,"46,222 km",3rd owner,Petrol,MH02-DJ7490,"₹7,910/month",₹3.56 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2015,Swift VXI,Swift VXI,Manual,"65,318 km",1st owner,Petrol,MH04-GZ7465,"₹7,976/month",₹4.08 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2023,Amaze 1.2L I-VTEC S CVT,Amaze 1.2L I-VTEC S CVT,Automatic,"8,096 km",1st owner,Petrol,MH02-FY3829,"₹15,582/month",₹7.97 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2017,Celerio VXI,Celerio VXI,Manual,"34,454 km",1st owner,Petrol,MH01-CP1759,"₹7,585/month",₹3.88 Lakh,On Zero down payment,"Goregaon, Mumbai"
Renault,2022,Kwid RXL 1.0 (O),Kwid RXL 1.0 (O),Manual,"4,744 km",1st owner,Petrol,MH47-BF4264,"₹8,504/month",₹4.35 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2012,Wagon R 1.0 VXI,Wagon R 1.0 VXI,Manual,"30,041 km",1st owner,Petrol,MH02-CL0686,"₹8,204/month",₹2.47 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2012,Swift VXI,Swift VXI,Manual,"52,004 km",2nd owner,Petrol,MH04-FF8264,"₹10,263/month",₹3.09 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2018,Creta SX (O) 1.6 DIESEL,Creta SX (O) 1.6 DIESEL,Manual,"66,796 km",1st owner,Diesel,MH02-EU9313,"₹19,719/month",₹10.36 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2015,Elite i20 SPORTZ 1.2 (O),Elite i20 SPORTZ 1.2 (O),Manual,"77,613 km",1st owner,Petrol,MH02-DZ1097,"₹8,837/month",₹4.52 Lakh,On Zero down payment,"Mulund West, Mumbai"
Volkswagen,2016,Polo GT TSI AT,Polo GT TSI AT,Automatic,"78,771 km",1st owner,Petrol,MH03-CB5051,"₹10,605/month",₹5.42 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2017,City 1.5L I-VTEC ZX CVT,City 1.5L I-VTEC ZX CVT,Automatic,"43,060 km",2nd owner,Petrol,MH12-PZ6623,"₹13,040/month",₹6.67 Lakh,On Zero down payment,"Goregaon, Mumbai"
Tata,2019,Harrier XZ 2.0L,Harrier XZ 2.0L,Manual,"52,045 km",2nd owner,Diesel,MH04-KD4626,"₹24,668/month",₹12.96 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2018,Creta SX PLUS 1.6 PETROL DUAL TONE,Creta SX PLUS 1.6 PETROL DUAL TONE,Manual,"50,556 km",1st owner,Petrol,MH05-DS7875,"₹16,407/month",₹8.62 Lakh,On Zero down payment,Seawood
Maruti,2022,Celerio ZXI,Celerio ZXI,Manual,"11,147 km",2nd owner,Petrol,MH47-BF3889,"₹9,540/month",₹4.88 Lakh,On Zero down payment,Seawood
Honda,2020,City 1.5L I-VTEC ZX,City 1.5L I-VTEC ZX,Manual,"44,722 km",1st owner,Petrol,MH46-BQ5934,"₹17,492/month",₹9.19 Lakh,On Zero down payment,"Goregaon, Mumbai"
Ford,2017,Ecosport TREND 1.5L DIESEL,Ecosport TREND 1.5L DIESEL,Manual,"55,356 km",1st owner,Diesel,MH04-LT4021,"₹11,583/month",₹5.92 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2017,City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Manual,"38,411 km",1st owner,Petrol,MH47-Q7458,"₹13,411/month",₹6.86 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2021,City 1.5L I-VTEC ZX CVT,City 1.5L I-VTEC ZX CVT,Automatic,"22,500 km",1st owner,Petrol,MH05-ER2424,"₹22,955/month",₹12.06 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2015,City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Manual,"76,749 km",2nd owner,Petrol,MH01-BY4993,"₹8,817/month",₹4.51 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2016,Grand i10 MAGNA 1.2 KAPPA VTVT,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"76,719 km",1st owner,Petrol,MH05-CV1582,"₹7,410/month",₹3.79 Lakh,On Zero down payment,Seawood
Maruti,2017,Swift ZXI,Swift ZXI,Manual,"29,424 km",1st owner,Petrol,MH16-BY5614,"₹9,756/month",₹4.99 Lakh,On Zero down payment,"Mulund West, Mumbai"
Skoda,2015,Rapid 1.5 TDI CR STYLE PLUS AT,Rapid 1.5 TDI CR STYLE PLUS AT,Manual,"35,375 km",2nd owner,Diesel,MH02-DZ9473,"₹11,389/month",₹5.12 Lakh,On Zero down payment,"Mulund West, Mumbai"
Tata,2020,ALTROZ XZ PETROL,ALTROZ XZ PETROL,Manual,"47,992 km",1st owner,Petrol,MH43-BU3448,"₹13,060/month",₹6.68 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2020,S Cross ALPHA AT SMART HYBRID,S Cross ALPHA AT SMART HYBRID,Manual,"29,624 km",1st owner,Petrol,MH40-CA1570,"₹19,529/month",₹10.26 Lakh,On Zero down payment,"Mulund West, Mumbai"
Jeep,2019,Compass SPORT 1.4 PETROL,Compass SPORT 1.4 PETROL,Manual,"10,405 km",1st owner,Petrol,MH01-DE9218,"₹21,642/month",₹11.37 Lakh,On Zero down payment,"Goregaon, Mumbai"
Jeep,2017,Compass LIMITED 1.4 PETROL AT,Compass LIMITED 1.4 PETROL AT,Automatic,"21,921 km",2nd owner,Petrol,MH02-EU0783,"₹18,863/month",₹9.91 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2019,Creta SX 1.6 PETROL,Creta SX 1.6 PETROL,Manual,"60,529 km",1st owner,Petrol,MH46-BQ2733,"₹16,579/month",₹8.71 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2016,Celerio VXI CNG,Celerio VXI CNG,Manual,"91,598 km",1st owner,CNG,MH47-Q1924,"₹7,919/month",₹3.56 Lakh,On Zero down payment,Seawood
Maruti,2015,Wagon R 1.0 LXI CNG,Wagon R 1.0 LXI CNG,Manual,"78,600 km",1st owner,CNG,MH46-AL8618,"₹8,479/month",₹3.22 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2017,Jazz 1.2L I-VTEC V,Jazz 1.2L I-VTEC V,Manual,"55,248 km",1st owner,Petrol,MH01-CP7353,"₹8,661/month",₹4.43 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2018,NEW SANTRO SPORTZ AMT,NEW SANTRO SPORTZ AMT,Automatic,"19,642 km",1st owner,Petrol,MH43-BN4028,"₹9,365/month",₹4.79 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2016,City 1.5L I-VTEC SV,City 1.5L I-VTEC SV,Manual,"83,615 km",1st owner,Petrol,MH04-HM4965,"₹10,870/month",₹5.56 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2016,Alto 800 LXI,Alto 800 LXI,Manual,"45,935 km",2nd owner,Petrol,MH01-CH3724,"₹4,907/month",₹2.51 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2015,Jazz 1.2L I-VTEC V AT,Jazz 1.2L I-VTEC V AT,Automatic,"33,907 km",1st owner,Petrol,MH02-DZ8685,"₹9,208/month",₹4.71 Lakh,On Zero down payment,Seawood
Maruti,2020,S Cross ALPHA 1.5 SMART HYBRID,S Cross ALPHA 1.5 SMART HYBRID,Manual,"52,649 km",1st owner,Petrol,MH40-CA1557,"₹17,238/month",₹9.06 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2015,Elite i20 SPORTZ 1.2,Elite i20 SPORTZ 1.2,Manual,"52,497 km",1st owner,Petrol,MH01-BY6343,"₹9,091/month",₹4.65 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2016,City 1.5L I-VTEC SV,City 1.5L I-VTEC SV,Manual,"60,664 km",2nd owner,Petrol,MH43-AW1765,"₹9,697/month",₹4.96 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2019,IGNIS DELTA 1.2,IGNIS DELTA 1.2,Manual,"37,783 km",2nd owner,Petrol,MH04-KD2407,"₹8,504/month",₹4.35 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2020,IGNIS ALPHA 1.2,IGNIS ALPHA 1.2,Manual,"20,435 km",1st owner,Petrol,MH43-BU3290,"₹11,202/month",₹5.73 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2018,Creta SX AT 1.6 DIESEL,Creta SX AT 1.6 DIESEL,Automatic,"107,774 km",1st owner,Diesel,MH02-EZ5337,"₹22,308/month",₹10.26 Lakh,On Zero down payment,Seawood
Maruti,2017,Ertiga ZDI + SHVS,Ertiga ZDI + SHVS,Manual,"44,741 km",1st owner,Diesel,MH05-DH1397,"₹16,883/month",₹8.87 Lakh,On Zero down payment,"Mulund West, Mumbai"
KIA,2020,SELTOS GTX PLUS DCT 1.4 PETROL,SELTOS GTX PLUS DCT 1.4 PETROL,Automatic,"34,698 km",1st owner,Petrol,MH04-KL3267,"₹27,247/month",₹14.31 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2014,Ertiga VXI CNG,Ertiga VXI CNG,Manual,"111,085 km",2nd owner,CNG,MH02-DN3917,"₹18,069/month",₹5.44 Lakh,On Zero down payment,"Goregaon, Mumbai"
Tata,2019,TIGOR XZ PLUS PETROL,TIGOR XZ PLUS PETROL,Manual,"87,229 km",1st owner,Petrol,MH48-BH5207,"₹9,599/month",₹4.91 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2020,Ciaz S 1.5 MT PETROL,Ciaz S 1.5 MT PETROL,Manual,"42,385 km",2nd owner,Petrol,MH40-CA0342,"₹14,841/month",₹7.59 Lakh,On Zero down payment,"Mulund West, Mumbai"
Tata,2023,NEXON XZA PLUS PETROL,NEXON XZA PLUS PETROL,Automatic,"6,437 km",1st owner,Petrol,MH47-BK0917,"₹20,785/month",₹10.92 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2023,New Wagon-R LXI 1.0,New Wagon-R LXI 1.0,Manual,"1,958 km",1st owner,Petrol,MH47-BK2665,"₹11,515/month",₹5.89 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2014,i10 SPORTZ 1.1,i10 SPORTZ 1.1,Manual,"49,842 km",2nd owner,CNG,MH48-S8832,"₹9,898/month",₹2.98 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2016,Creta S 1.6 PETROL,Creta S 1.6 PETROL,Manual,"48,860 km",1st owner,Petrol,MH03-CB4090,"₹14,233/month",₹7.28 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2017,Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"109,662 km",1st owner,CNG,MH05-DH4364,"₹9,810/month",₹4.41 Lakh,On Zero down payment,"Goregaon, Mumbai"
Toyota,2022,URBAN CRUISER PREMIUM GRADE AT,URBAN CRUISER PREMIUM GRADE AT,Automatic,"33,986 km",1st owner,Petrol,MH01-EB3891,"₹19,434/month",₹10.21 Lakh,On Zero down payment,Seawood
Hyundai,2016,Creta SX PLUS 1.6 PETROL,Creta SX PLUS 1.6 PETROL,Manual,"41,441 km",1st owner,Petrol,MH01-CH1348,"₹13,959/month",₹7.14 Lakh,On Zero down payment,Seawood
Renault,2019,Kwid RXT 1.0 AMT,Kwid RXT 1.0 AMT,Manual,"79,343 km",2nd owner,Petrol,MH03-DG0785,"₹7,441/month",₹3.81 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2018,Creta SX (O) 1.6 PETROL,Creta SX (O) 1.6 PETROL,Manual,"27,420 km",1st owner,Petrol,MH02-EZ0084,"₹19,320/month",₹10.15 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2014,Swift Dzire ZDI,Swift Dzire ZDI,Manual,"114,899 km",2nd owner,Diesel,MH46-Z8904,"₹12,503/month",₹4.75 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2022,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,Manual,"11,942 km",1st owner,CNG,MH43-BY9884,"₹13,294/month",₹6.8 Lakh,On Zero down payment,"Goregaon, Mumbai"
Tata,2021,NEXON XZA PLUS (O) PETROL DARK EDITION,NEXON XZA PLUS (O) PETROL DARK EDITION,Automatic,"48,451 km",1st owner,Petrol,MH20-FX4050,"₹19,643/month",₹10.32 Lakh,On Zero down payment,"Mulund West, Mumbai"
Nissan,2013,Micra XV CVT,Micra XV CVT,Manual,"68,726 km",1st owner,Petrol,MH43-AN6624,"₹8,032/month",₹3.05 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2019,NEW SANTRO MAGNA,NEW SANTRO MAGNA,Manual,"16,445 km",1st owner,Petrol,MH05-DS9285,"₹8,504/month",₹4.35 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2015,City 1.5L I-VTEC VX,City 1.5L I-VTEC VX,Manual,"100,831 km",1st owner,Petrol,MH01-BY7255,"₹10,455/month",₹4.7 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2016,Swift VXI O,Swift VXI O,Manual,"35,970 km",1st owner,Petrol,MH46-AU5153,"₹9,013/month",₹4.61 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2012,City 1.5L I-VTEC S MT,City 1.5L I-VTEC S MT,Manual,"80,218 km",1st owner,Petrol,MH01-BF1300,"₹10,496/month",₹3.16 Lakh,On Zero down payment,Seawood
Toyota,2011,Etios Liva G,Etios Liva G,Manual,"77,595 km",1st owner,Petrol,MH43-AJ4942,"₹11,768/month",₹2.5 Lakh,On Zero down payment,"Mulund West, Mumbai"
